train,test,kappa,train acc,test acc
0.3588871468061184,0.2887111684881655,0.8048599345372902,0.4639941385806992,0.5968045112781954
0.3604759545755187,0.4075432033243036,0.6902498393668387,0.4870211429767636,0.4304511278195489
0.2633546433563512,0.2300678473386101,0.8396825586467959,0.6028888423696881,0.6701127819548872
0.30820410661243497,0.5817874957968417,0.6949499794452437,0.5511827506803433,0.42857142857142855
0.2839290163008239,0.25631714351755336,0.8218297135285086,0.5792338287628218,0.6419172932330827
0.27283228262011977,0.25219824523629997,0.82649313085574,0.5960854092526691,0.6268796992481203
0.2627523333613593,0.2484392729916967,0.8250884288931519,0.6150303537785221,0.6203007518796992
0.23717899279801416,0.2238379794179945,0.8423914897442772,0.6327192798827717,0.6738721804511278
0.2999717558839331,0.275889519910167,0.8144313630153077,0.5666736445467867,0.6137218045112782
0.2770857503536356,0.2630517609921613,0.8067621662751845,0.5936780406112623,0.6118421052631579
0.2609744303957189,0.23544356081270634,0.8321922847115691,0.608540925266904,0.6522556390977443
0.2494152339744269,0.2289533900251066,0.8524442356016759,0.6293698974251623,0.6550751879699248
0.2415359193996905,0.2114166953509912,0.8613341343874781,0.6368013397529829,0.6917293233082706
0.2329538844681684,0.2315481685494121,0.8393982958230783,0.6475821645384132,0.6569548872180451
0.2254944309935161,0.2104381343587897,0.8639115964856757,0.6568976344986394,0.6870300751879699
0.21446489470399074,0.2143164355643934,0.8641643918182551,0.6779359430604982,0.693609022556391
0.20957416810687607,0.20927106625491515,0.8566657511450206,0.6782499476658991,0.6973684210526315
0.2011132718925072,0.20399442592397668,0.8737888074479698,0.6862047310027214,0.6870300751879699
0.1932220938596017,0.1906253976145185,0.8909941151876373,0.6988695834205568,0.7189849624060151
0.1859131459146738,0.1867956628084631,0.8878803958651424,0.7105924220221896,0.7067669172932329
0.17582026875137535,0.18476450642136705,0.8937835754794032,0.7189658781662132,0.7208646616541353
0.16963784578548566,0.18531436784038866,0.8855477000680572,0.7249319656688298,0.7283834586466166
0.16552075672754432,0.1785112261856185,0.892187084832267,0.7429348963784802,0.7349624060150376
0.15249953217118606,0.19993381276446626,0.8720372834076288,0.7525643709441072,0.724624060150376
0.1484357563638475,0.17779191244477616,0.8970378952755249,0.7601004814737283,0.7359022556390977
0.1398562454614617,0.17779527872072576,0.9039308650212678,0.7707766380573582,0.7396616541353384
0.13528972926966565,0.17332128805801608,0.90287523490878,0.7792547624031819,0.7471804511278195
0.1328335718528434,0.1714660703253589,0.9058317622066794,0.7772660665689763,0.7424812030075187
0.13375031079348784,0.17235220915504865,0.9067366026209616,0.7797781034121833,0.7462406015037594
0.1309467827550537,0.17343705342172233,0.90952228854833,0.7816621310445887,0.7453007518796992
0.17297427110280453,0.1874637596407219,0.8913548245855479,0.7288046891354406,0.7415413533834586
0.1681035575538749,0.19046873627300548,0.8800154240537983,0.7292233619426418,0.7039473684210527
0.16390388684199195,0.1867222145928028,0.8899756213638439,0.741783546158677,0.7321428571428571
0.15946500128423444,0.18384828184612265,0.8895540207156748,0.7392715093154699,0.7340225563909775
0.15640245146238904,0.17455370164007172,0.9025994890940238,0.7528783755495081,0.7302631578947368
0.1472119246917352,0.1721024746215321,0.8989612690132892,0.7624031819133348,0.7321428571428571
0.1422371384021378,0.1724452192341923,0.8991543619285061,0.7698346242411556,0.7255639097744361
